artist_id,name,gender,country,styles,playcount
1370,Russian Red,female,Spain,folk,6039493
1520,Malu,undefined,Spain,pop|romantic,539380
1853,ROSALÍA,undefined,Spain,pop,75544713
3226,C. Tangana,male,Spain,rap,13824307
3630,Lola Indigo,undefined,Spain,pop,2011314
3717,Mónica Naranjo,female,Spain,pop|latin,1759325
4058,Alejandro Sanz,male,Spain,latin|pop,7887761
4684,Nathy Peluso,female,Spain,jazz,4680722
4749,Jarabe de Palo,undefined,Spain,latin|pop|rock,6041047
4893,Amaia,undefined,Spain,pop|folk,1814811
4894,Aitana,undefined,Spain,pop,3864953
5180,Eduardo Paniagua,male,Spain,medieval|renaissance,165198
5875,Pastora Soler,female,Spain,pop|folk,594233
5956,Cariño,undefined,Spain,pop,1171900
2,Miley Cyrus,genderfluid,United States,pop,153598775
4,Ariana Grande,female,United States,pop,395600066
5,Conan Gray,male, United States,pop,72987695
6,Billie Eilish,female,United States,pop,235441911
9,Bruno Mars,male,United States,pop,122161624
11,Taylor Swift,female, United States,country|pop,1110122247
12,Chance the Rapper,male,United States,rap,38464303
19,Lady Gaga,female,United States,pop|electronic,470922111
22,Mark Ronson,male, United States,funk|pop,31804037
29,Frank Ocean,male, United States,soul,303553670
